date,aqi_pm2.5,max_temp_f,avg_temp_f,min_temp_f,max_dew_point_f,avg_dew_point_f,min_dew_point_f,max_humidity_percent,avg_humidity_percent,min_humidity_percent,max_wind_speed_mph,avg_wind_speed_mph,min_wind_speed_mph,max_pressure_in,avg_pressure_in,min_pressure_in,aqi_pm2.5_scaled,avg_temp_f_scaled,avg_humidity_percent_scaled,avg_wind_speed_mph_scaled,avg_pressure_in_scaled
2019-01-06,222.0,115,101.0,88,64,56.2,39,40,24.6,10,18,4.2,0,28.8,28.8,28.7,0.4046610169491526,0.9822294022617125,0.0524296675191816,0.22340425531914895,0.8923076923076922
2019-02-06,170.0,115,100.3,86,64,61.1,57,45,28.6,16,9,5.9,0,28.9,28.8,28.7,0.2944915254237288,0.9709208400646204,0.10358056265984655,0.3138297872340426,0.8923076923076922
2019-03-06,223.0,109,96.5,84,66,61.4,57,49,33.1,18,41,10.3,0,28.8,28.1,0.0,0.4067796610169492,0.9095315024232634,0.16112531969309463,0.547872340425532,0.7846153846153849
2019-04-06,153.0,106,92.1,81,72,64.3,57,52,40.1,29,20,9.8,0,28.8,28.8,28.7,0.2584745762711865,0.838449111470113,0.2506393861892583,0.5212765957446809,0.8923076923076922
2019-05-06,157.0,111,94.8,82,68,60.5,52,55,34.1,15,15,8.3,0,28.8,28.8,28.8,0.2669491525423729,0.8820678513731827,0.17391304347826086,0.4414893617021277,0.8923076923076922
2019-06-06,129.0,108,95.0,82,59,53.0,48,42,26.0,15,16,10.1,5,28.9,28.8,28.8,0.2076271186440678,0.8852988691437803,0.07033248081841431,0.5372340425531915,0.8923076923076922
2019-07-06,149.0,109,96.2,79,63,56.1,54,45,28.0,16,9,5.9,3,28.9,28.9,28.9,0.25,0.9046849757673668,0.09590792838874679,0.3138297872340426,0.9076923076923076
2019-08-06,156.0,109,96.9,82,63,59.3,54,48,30.2,17,12,6.3,3,28.9,28.9,28.8,0.2648305084745763,0.9159935379644589,0.1240409207161125,0.3351063829787234,0.9076923076923076
2019-09-06,160.0,111,98.3,84,64,59.5,55,40,28.9,17,8,4.2,0,28.8,28.8,28.7,0.2733050847457627,0.9386106623586431,0.10741687979539638,0.22340425531914895,0.8923076923076922
2019-10-06,168.0,115,100.9,86,63,59.3,55,40,26.5,14,7,5.0,0,28.8,28.7,28.6,0.2902542372881356,0.9806138933764138,0.07672634271099743,0.26595744680851063,0.8769230769230769
2019-11-06,171.0,111,99.9,88,66,57.7,50,41,26.6,13,23,10.7,0,28.7,28.7,28.6,0.2966101694915254,0.9644588045234251,0.07800511508951408,0.5691489361702128,0.8769230769230769
2019-12-06,160.0,102,90.7,75,66,64.8,61,69,43.5,31,29,14.8,3,28.8,28.7,28.6,0.2733050847457627,0.8158319870759291,0.2941176470588235,0.7872340425531915,0.8769230769230769
2019-06-13,142.0,106,91.4,79,66,62.3,57,61,40.0,26,9,5.2,0,28.9,28.8,28.8,0.2351694915254237,0.8271405492730212,0.2493606138107417,0.2765957446808511,0.8923076923076922
2019-06-14,156.0,109,95.8,82,63,56.2,50,51,28.9,15,14,6.1,0,28.8,28.8,28.7,0.2648305084745763,0.8982229402261713,0.10741687979539638,0.324468085106383,0.8923076923076922
2019-06-15,188.0,109,93.4,82,68,60.7,55,58,35.2,23,37,11.4,0,28.8,28.7,28.7,0.3326271186440678,0.8594507269789985,0.18797953964194375,0.6063829787234043,0.8769230769230769
2019-06-16,154.0,102,91.7,82,68,63.3,61,58,40.6,26,17,8.1,3,28.8,28.8,28.7,0.2605932203389831,0.8319870759289177,0.25703324808184147,0.4308510638297872,0.8923076923076922
2019-06-17,153.0,106,90.5,72,73,68.1,59,94,51.6,28,25,10.0,3,28.9,28.8,28.7,0.2584745762711865,0.8126009693053312,0.3976982097186701,0.5319148936170213,0.8923076923076922
2019-06-18,128.0,88,80.9,73,70,66.3,63,78,61.7,51,15,7.6,5,28.9,28.8,28.8,0.2055084745762712,0.6575121163166399,0.5268542199488491,0.40425531914893614,0.8923076923076922
2019-06-19,169.0,100,88.6,77,73,69.3,64,78,54.4,34,12,5.0,0,28.8,28.8,28.7,0.2923728813559322,0.7819063004846526,0.4335038363171355,0.26595744680851063,0.8923076923076922
2019-06-20,153.0,99,83.6,72,72,68.4,64,94,61.6,39,46,11.4,0,28.9,27.2,0.0,0.2584745762711865,0.7011308562197093,0.5255754475703325,0.6063829787234043,0.6461538461538461
2019-06-21,188.0,99,88.4,77,70,66.9,64,69,50.8,35,12,5.5,0,28.9,28.9,28.8,0.3326271186440678,0.7786752827140552,0.38746803069053704,0.2925531914893617,0.9076923076923076
2019-06-22,159.0,106,94.5,82,72,66.4,61,66,42.2,24,12,6.2,0,29.0,28.8,28.7,0.2711864406779661,0.8772213247172861,0.2774936061381075,0.3297872340425532,0.8923076923076922
2019-06-23,160.0,104,90.5,84,70,66.6,63,58,46.1,29,37,8.6,0,28.9,28.8,28.8,0.2733050847457627,0.8126009693053312,0.3273657289002557,0.4574468085106383,0.8923076923076922
2019-06-24,163.0,84,80.4,73,75,69.8,64,94,71.6,51,16,5.8,0,29.0,28.9,28.8,0.2796610169491526,0.6494345718901456,0.6534526854219948,0.30851063829787234,0.9076923076923076
2019-06-25,176.0,97,87.6,75,77,74.0,70,89,65.3,50,7,1.2,0,28.9,28.9,28.8,0.3072033898305085,0.7657512116316639,0.5728900255754475,0.06382978723404255,0.9076923076923076
2019-06-26,166.0,106,93.5,82,75,72.1,66,79,52.0,31,46,6.9,0,28.9,28.8,28.7,0.2860169491525424,0.8610662358642974,0.40281329923273657,0.3670212765957447,0.8923076923076922
2019-06-27,135.0,106,92.7,79,68,60.3,52,69,37.5,18,12,7.0,0,28.8,27.4,0.0,0.22033898305084748,0.8481421647819064,0.21739130434782605,0.3723404255319149,0.6769230769230767
2019-06-28,186.0,106,95.3,84,66,64.4,61,48,36.8,28,29,5.6,0,28.8,28.7,28.6,0.3283898305084746,0.8901453957996769,0.20843989769820964,0.2978723404255319,0.8769230769230769
